Job,Publish Date,Skills,Budget,Bids,Summary,Link
Captação de dados automatizados,10 de Maio de 2023 23:27,"JavaScript, MySQL, PHP, API, HTML, HTML5, Python",USD 250 - 500,16,"Estou procurando um dev que possa extrair dados de forma automatizada de alguns sites para geração de uma planilha para futura exportação.

Categoria: TI e Programação
Subcategoria: Programação
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um projeto
Tenho,... Ver mais detalhes",https://www.workana.com/job/captacao-de-dados-automatizados?ref=projects_2
Preciso de um desenvolvedor para desenvolver sistemas e alguns recursos para site - Dou prioridade para desenvolvedores que trabalham com streaming,11 de Maio de 2023 13:58,"JavaScript, MySQL, PHP, API, CSS, HTML, HTML5, WordPress, Responsive Web Design",USD 250 - 500,0,"Preciso de um desenvolvedor que saiba realizar o densevolvimento de sistemas personalizados. Também precisamos que o desenvolvedor saiba desenvolver projetos especificos para sites.

Precisamos de desenvolvedores experientes da area
Dou prioridade para desenvolvedores que trabalham com streaming!

... Ver mais detalhes",https://www.workana.com/job/preciso-de-um-desenvolvedor-para-desenvolver-sistemas-e-alguns-recursos-para-site-dou-prioridade-para-desenvolvedores-que-trabal?ref=projects_2
Conteúdos relacionados a saúde,11 de Maio de 2023 13:56,"Escrita de artigos, Edição de textos, Escrita criativa, Blogs, Marketing Online",Mais de USD 45 / hora,3,"Precisamos de material para postagem no site, com temas relacionados a saúde, longevidade, bem estar, qualidade de vida, acidente domésticos, acidentes no trabalho que tenham link com os serviços oferecidos pela empresa.

Categoria: Tradução e conteúdos
Subcategoria: Redação para sites
Isso é um... Ver mais detalhes",https://www.workana.com/job/conteudos-relacionados-a-saude?ref=projects_2
Vsl 2 minutos Para venda de E-book de vendas na shopee,11 de Maio de 2023 13:54,"Adobe After Effects, Adobe Premiere, Edição de vídeo, Edição",Menos de USD 50,0,"Preciso de uma VSL de 2 minutos de um E-book que estou lançando da shopee (basico ao avancçado). Já tenho uma copy para a VSL, mas aceito outras propostas de copy também

Categoria: Design e Multimedia
Subcategoria: Criar ou editar vídeo
Do que você precisa?: Novo vídeo a partir de gravações existentes
... Ver mais detalhes",https://www.workana.com/job/vsl-2-minutos-para-venda-de-e-book-de-vendas-na-shopee?ref=projects_2
Gesto de trafego para minha loja online,11 de Maio de 2023 13:53,"Facebook, Google AdWords, Marketing Online",USD 50 - 100,2,"Quero fazer um alcance melhor para minha loja, trazendo mais click, gerando mais trafego, mais visualização!
organizar o script e pixel

Categoria: Marketing e Vendas
Subcategoria: Publicidade no Google, Facebook
Do que você precisa?: Campanhas de complexidade média
Isso é um projeto ou uma posição de... Ver mais detalhes",https://www.workana.com/job/gesto-de-trafego-para-minha-loja-online?ref=projects_2
Migrar Telas Angular 1 e 2 Para Angular 15,11 de Maio de 2023 13:53,"JavaScript, CSS, HTML5, AngularJS, Responsive Web Design, Angular 9",USD 250 - 500,1,"O projeto será a migração de telas utilizando Angular 1 e 2 para Angular 15.
Já possuímos um core com todos os componentes criados e validados.
Será disponibilizado EF, Mock e acesso ao sistema antigo para comparações e validações.
A tela migrada deve atender todas as regras da EF

Caso de duvidas... Ver mais detalhes",https://www.workana.com/job/migrar-telas-angular-1-e-2-para-angular-15?ref=projects_2
Prime Export,11 de Maio de 2023 13:52,"Design Gráfico, Adobe Illustrator, Adobe Photoshop",Menos de USD 50,1,"Olá, tenho um perfil profissional voltado a prospectar importadores, gostaria de saber quanto custa um pack de 12 cards para instagram. Já tenho logo, cores, existe uma identidade visual basica, o conteúdo será criado por mim, envio os textos, preciso somente dos cards.  Perfil prime.export

... Ver mais detalhes",https://www.workana.com/job/prime-export?ref=projects_2
Criação de Banners para E-commerce,11 de Maio de 2023 13:51,"Design Gráfico, Adobe Illustrator, Adobe Photoshop",Menos de USD 50,1,"Olá, tudo bem?

Sou sócio de uma marca de roupas (@berckdesign/ berck.com.br), gostaria de suporte para criação de artes para os banners do site. A princípio vai ser um teste com 3 banners para o site, mas a ideia é continuar com essas pessoas no futuro pois os banners são ""células vivas"".

... Ver mais detalhes",https://www.workana.com/job/criacao-de-banners-para-e-commerce-14?ref=projects_2
Página de redirecionamento,10 de Maio de 2023 22:15,"HTML, WordPress, Responsive Web Design, API, CSS, HTML5, JavaScript, MySQL, PHP, Wix",USD 50 - 100,16,"Preciso criar uma página de redirecionamento com informações e produtos para usar no instagram no link da bio. Exemplo, clica no link da bio, cai na página de oferta dos produtos, clica no produto desejado e é direcionado para o link do anúncio / páginas de vendas.

Categoria: Design e Multimedia
... Ver mais detalhes",https://www.workana.com/job/pagina-de-redirecionamento?ref=projects_3
Logo e Artes para Empresa (Rebranding),10 de Maio de 2023 19:42,"Design Gráfico, Ilustração, Adobe Illustrator, Social Media Marketing",Mais de USD 45 / hora,27,"Estou iniciando um projeto de rebranding da minha marca e preciso redesenhar a logo, ale'm de uma nova coleção de artes para redes sociais e outras mídias. Já tenho conteúdos e ideas como base.

Categoria: Design e Multimedia
Subcategoria: Design de Logo
Isso é um projeto ou uma posição de trabalho?:... Ver mais detalhes",https://www.workana.com/job/logo-e-artes-para-empresa-rebranding?ref=projects_3
Consultoria na criação de um site,11 de Maio de 2023 13:28,"HTML, PHP, WordPress",USD 50 - 100,2,"Olá, tudo bem?

Sou novo nesse mundo de Wordpress, mas estou fazendo o site de um cliente meu, como imaginado, estou tendo alguns problemas na criação, portanto preciso da instrução de alguém que manje.

É Coisa simples, talvez resolveremos apenas pelo chat mesmo.

Categoria: TI e Programação
... Ver mais detalhes",https://www.workana.com/job/consultoria-na-criacao-de-um-site?ref=projects_3
Preciso de 1 Menina para entrar em contatos com leads no whatsapp,11 de Maio de 2023 13:28,"Skype, Marketing, Vendas",USD 50 - 100,0,"Preciso de 1 menina para entrar em contato com em média 170 leads diariamente no whatsapp para vendas, o trabalho é 100% remoto e só precisa de um computador, vai ser disponibilizado o script para seguir.

Precisa ter computador pois usamos whatsapp web
Já ter experiência com vendas é um... Ver mais detalhes",https://www.workana.com/job/preciso-de-1-menina-para-entrar-em-contatos-com-leads-no-whatsapp?ref=projects_3
Otimização Loja Integrada,11 de Maio de 2023 13:28,"Magento, PHP, WordPress",USD 100 - 250,0,"Preciso de uma otimização de velocidade para a loja intergada, tenho um site feito e completo, porem fiz algo e minha velocidade esta horrivel

Categoria: TI e Programação
Subcategoria: Lojas Virtuais (e-commerce)
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?... Ver mais detalhes",https://www.workana.com/job/otimizacao-loja-integrada?ref=projects_3
Procuro quem edite nutellas e reels,11 de Maio de 2023 13:27,"Adobe After Effects, Adobe Premiere, Edição de vídeo, Edição",Menos de USD 50,0,"Olá!

Estou à procura de um editor de vídeo que faça a edição de nutellas e reels mensais para nossa empresa. Por favor, solicito orçamento de vídeos que tenham:
- capa (temos um padrão visual simples já, mas é possível a sugestão de um novo padrão - capa feita através de frame do vídeo);
-... Ver mais detalhes",https://www.workana.com/job/procuro-quem-edite-nutellas-e-reels?ref=projects_3
Transformar Uma Curso De 40 Horas Em Apostila,11 de Maio de 2023 13:27,"Escrita de artigos, Investigação, Edição de textos, Escrita criativa",USD 250 - 500,2,"Tenho um curso gravado ao vivo e preciso que você o transforme em um conteúdo para apostila. Essa apostila será usada nas próximas edições do evento.

Categoria: Tradução e conteúdos
Subcategoria: Outros
Tamanho do projeto: Grande
Isso é um projeto ou uma posição de trabalho?: Um projeto
Disponibilidade requerida: Conforme necessário",https://www.workana.com/job/transformar-uma-curso-de-40-horas-em-apostila?ref=projects_3
Clonar página pequena,11 de Maio de 2023 13:21,"HTML, WordPress, Responsive Web Design, CSS",Menos de USD 50,0,"Basicamente o trabalho consiste em clonar, integralmente e com os mesmos recursos e fotos, selos e etc, essa página: https://blackads.expert/pagina

Categoria: Design e Multimedia
Subcategoria: Web Design
Do que você precisa?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/clonar-pagina-pequena?ref=projects_3
Posts para Instagram,11 de Maio de 2023 13:14,"Design Gráfico, Adobe Illustrator, Adobe Photoshop, Ilustração",USD 50 - 100,9,"Preciso de um pacote de 40 postagens profissionais para o feed do Instagram para uma oficina mecânica de motos com informações sobre serviços, sobre curiosidades e etc.
Preciso apenas das imagens, não precisa postar e nem fazer as descrições das postagens.

Categoria: Design e Multimedia
Subcategoria:... Ver mais detalhes",https://www.workana.com/job/posts-para-instagram-255?ref=projects_3
Project Finance para projeto de energia de grande porte,10 de Maio de 2023 14:22,"Microsoft Excel, Análise Financeira, Management",USD 100 - 250,3,"Project finance completo para um grande projeto de empresa de energia inovadora com grande capacidade de escalabilidade e interface com grandes bancos e empresas do setor

Categoria: Finanças e Administração
Subcategoria: Planejamento estratégico
Do que você precisa?: Para uma PME
Isso é um projeto ou... Ver mais detalhes",https://www.workana.com/job/project-finance-para-projeto-de-energia-de-grande-porte?ref=projects_4
Design de página institucional de empresa distribuidora de softwares Aec,10 de Maio de 2023 19:24,"CSS, HTML, Responsive Web Design, HTML5, JavaScript, PHP",USD 500 - 1.000,25,"Necessitamos reformular (atualizar visual e UX...) De nossa página corporativa.
Estamos usando a atual por muitos anos ...
Link da página: http://www.cadtec.com.br

Categoria: TI e Programação
Subcategoria: Web Design
Qual é o alcance do projeto?: Criar um novo design personalizado
Isso é um projeto... Ver mais detalhes",https://www.workana.com/job/design-de-pagina-institucional-de-empresa-distribuidora-de-softwares-aec?ref=projects_4
Loja Virtual em Woocomerce,11 de Maio de 2023 12:31,"Magento, PHP, WordPress",USD 100 - 250,6,"Olá pessoal,

Por favor, eu preciso de uma loja em Woocommerce pronta para eu cadastrar produtos e conectar com gatways de pagamento.

Categoria: TI e Programação
Subcategoria: Lojas Virtuais (e-commerce)
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um... Ver mais detalhes",https://www.workana.com/job/loja-virtual-em-woocomerce?ref=projects_4
Gestor de tráfego comissionado,11 de Maio de 2023 12:28,"Facebook, Google AdWords, Marketing Online",Menos de USD 50,0,"A Troken Construções é uma empresa da região do Vale do Caí - RS, que atua no ramo da construção civil oferecendo produtos de construção a seco, como forros e paredes de drywall, forros de gesso convencional, molduras e sancas. Com dois funcionários e um faturamento anual em próximo de R$200.000, a... Ver mais detalhes",https://www.workana.com/job/gestor-de-trafego-comissionado-2?ref=projects_4
Gestão das redes sociais,11 de Maio de 2023 12:28,"Design Gráfico, Adobe Illustrator, Adobe Photoshop",Menos de USD 15 / hora,8,"Quero um parceiro para fazer a gestão das redes sociais, meta e yt. Sou um psicoterapeuta, e estou com dificuldade de ter constância sobre fazer essas gestão.

Categoria: Design e Multimedia
Subcategoria: Imagens para redes sociais
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/gestao-das-redes-sociais-9?ref=projects_4
Criar uma Vls (vídeo de vendas ),11 de Maio de 2023 12:25,"Adobe After Effects, Adobe Premiere, Edição de vídeo, Edição, Edição de audio",USD 50 - 100,3,"Preciso desenvolver uma VSL, já tenho o script inteiro e também as dicas de imagens que vão aparecer no vídeo. Duração de 20 min. Tenho também um exemplo para ser modelado na hora de fazer o vídeo.

Categoria: Design e Multimedia
Subcategoria: Criar ou editar vídeo
Do que você precisa?: Vídeo e... Ver mais detalhes",https://www.workana.com/job/criar-uma-vls-video-de-vendas?ref=projects_4
Especialista em outlook,11 de Maio de 2023 12:18,"C, Java, Python",USD 100 - 250,3,"Preciso de um auxilio em outlook, gostaria de gerenciar um único e-mail em varias maquinas. Exemplo tenho uma equipe de 4 pessoas, vamos receber e-mails do nosso site e precisamos dar andamento.

Categoria: TI e Programação
Subcategoria: Aplicativos desktop
Qual é o alcance do projeto?: Bug ou... Ver mais detalhes",https://www.workana.com/job/especialista-em-outlook?ref=projects_4
Preciso de um cenário de sala realista,11 de Maio de 2023 12:18,"Design Gráfico, Adobe Illustrator, Adobe Photoshop",Menos de USD 50,2,"Preciso de um cenário de sala criado ou manipulado, de forma única e harmônica, bem iluminado e decorado, dando ênfase em um produto na parede, o qual disponibilizarei fotos reais para a montagem.

No total são 3 imagens utilizando o mesmo cenário e só trocando a estampa do produto na parede.

... Ver mais detalhes",https://www.workana.com/job/preciso-de-um-cenario-de-sala-realista?ref=projects_4
Criação de Logo p/ Agência de Apps,11 de Maio de 2023 12:15,"Design Gráfico, Ilustração, Adobe Illustrator",Menos de USD 50,10,"Preciso de uma Logo para minha agência de desenvolvimento de Aplicativos NoCode, até então a logo era uma foto minha (em anexo) mas o portal que divulgo minha empresa pediu para trocar para uma logo...

Categoria: Design e Multimedia
Subcategoria: Design de Logo
Do que você precisa?: Criar um logotipo... Ver mais detalhes",https://www.workana.com/job/criacao-de-logo-p-agencia-de-apps?ref=projects_4
Página de redirecionamento,10 de Maio de 2023 22:15,"HTML, WordPress, Responsive Web Design, API, CSS, HTML5, JavaScript, MySQL, PHP, Wix",USD 50 - 100,16,"Preciso criar uma página de redirecionamento com informações e produtos para usar no instagram no link da bio. Exemplo, clica no link da bio, cai na página de oferta dos produtos, clica no produto desejado e é direcionado para o link do anúncio / páginas de vendas.

Categoria: Design e Multimedia
... Ver mais detalhes",https://www.workana.com/job/pagina-de-redirecionamento?ref=projects_5
Logo e Artes para Empresa (Rebranding),10 de Maio de 2023 19:42,"Design Gráfico, Ilustração, Adobe Illustrator, Social Media Marketing",Mais de USD 45 / hora,27,"Estou iniciando um projeto de rebranding da minha marca e preciso redesenhar a logo, ale'm de uma nova coleção de artes para redes sociais e outras mídias. Já tenho conteúdos e ideas como base.

Categoria: Design e Multimedia
Subcategoria: Design de Logo
Isso é um projeto ou uma posição de trabalho?:... Ver mais detalhes",https://www.workana.com/job/logo-e-artes-para-empresa-rebranding?ref=projects_5
Páginas de vendas persuasiva para um produto,11 de Maio de 2023 11:26,"CSS, HTML, Responsive Web Design",USD 50 - 100,10,"Estou precisando de uma página de vendas de um produto de tratamento de rugas nos olhos ”30 dias para suas rugas irem embora” , Uma página com Faq de perguntas e respostas, provas sociais e etc….

Categoria: Design e Multimedia
Subcategoria: Landing Page
Do que você precisa?: Criar uma Landing Page a... Ver mais detalhes",https://www.workana.com/job/paginas-de-vendas-persuasiva-para-um-produto?ref=projects_5
Desenvolvimento de aplicativo,11 de Maio de 2023 11:25,"Android, API, HTML, iPhone, MySQL, PHP, Responsive Web Design",USD 1.000 - 3.000,0,"Olá preciso de um aplicativo com no mínimo 5 interfaces que leia em Android e Apple. Que tenha capa de início, sistema de ofertas. Parecido com o aplicativo melhorcambio.com

Categoria: TI e Programação
Subcategoria: Programação de Apps para Android, iOS e outros
Qual é o alcance do projeto?: Criar um... Ver mais detalhes",https://www.workana.com/job/desenvolvimento-de-aplicativo-179?ref=projects_5
Programador Php para suporte a sistema Crm (Vtiger / Yetiforce),11 de Maio de 2023 11:22,"JavaScript, MySQL, PHP, API, vtiger, SugarCRM",USD 15 - 45 / hora,2,"Temos demandas recorrentes para ajustes, alterações, criação de custom functions e workflows para os sistemas CRM dos projetos Open Source como o VTigerCRM e o Yetiforce CRM.

Categoria: TI e Programação
Subcategoria: Programação
Isso é um projeto ou uma posição de trabalho?: Um projeto
Tenho,... Ver mais detalhes",https://www.workana.com/job/programador-php-para-suporte-a-sistema-crm-vtiger-yetiforce?ref=projects_5
Shopmaverick,11 de Maio de 2023 11:20,"Facebook, Google AdWords, Marketing Online",Menos de USD 50,1,"Criar e administrar campanhas de anúncios, no Facebook Ads, Instagram, otimizando-os para um melhor resultado. Serviço este para comércio local.

Categoria: Marketing e Vendas
Subcategoria: Publicidade no Google, Facebook",https://www.workana.com/job/shopmaverick-3?ref=projects_5
Finalizar Dashboard e Api em Svelte e Nodejs,11 de Maio de 2023 11:18,"JavaScript, API, HTML, Node.js, React.js, Vue.js",USD 250 - 500,2,"Gostaria de alguém experiente com desenvolvimento Full-Stack para continuar um projeto de Dashboard com API.

Atualmente apenas o front em Svelte foi iniciado e possuí um código extremamente bem desenvolvido (por mim mesmo).

Quero usar Express ou similar no Back-end.

O projeto consiste em um... Ver mais detalhes",https://www.workana.com/job/finalizar-dashboard-e-api-em-svelte-e-nodejs?ref=projects_5
Diagramação de Ebook,11 de Maio de 2023 11:17,"Design Gráfico, Ilustração",Menos de USD 50,4,"Preciso de serviço de diagramação de ebooks, sendo 2 com perguntas e respostas e 2 com receitas.
Os ebooks têm tamanhos variados (entre 30 e 80 páginas).

Categoria: Design e Multimedia
Subcategoria: Outros
Tamanho do projeto: Médio
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/diagramacao-de-ebook-952?ref=projects_5
Cold call para clínicas de saúde para agendamento de apresentação de software Saas,11 de Maio de 2023 11:16,"Vendas, Soluções de vendas, Representante de Desenvolvimento de Vendas",Menos de USD 50,0,"Preciso de um(a) profissional de vendas (sdr) para fazer ligações ""cold call"" para donas de clínicas de saúde para pré-qualificação e convite para apresentação de um software saas.

Software está em fase de MVP e, de início, preciso de 20 agendamentos de apresentação.

Preciso dos 20 agendamentos... Ver mais detalhes",https://www.workana.com/job/cold-call-para-clinicas-de-saude-para-agendamento-de-apresentacao-de-software-saas?ref=projects_5
Desenvolvimento de Ferramenta Para Checkout Web com Integrações com Erp,11 de Maio de 2023 12:50,"Magento, PHP, WordPress",USD 1.000 - 3.000,1,"Procuro dev full stack para projeto de desenvolvimento de ferramenta checkout web (no site do cliente) com integração api em erp.

Categoria: TI e Programação
Subcategoria: Lojas Virtuais (e-commerce)
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/desenvolvimento-de-ferramenta-para-checkout-web-com-integracoes-com-erp?ref=projects_6
Página de redirecionamento,10 de Maio de 2023 22:15,"HTML, WordPress, Responsive Web Design, API, CSS, HTML5, JavaScript, MySQL, PHP, Wix",USD 50 - 100,16,"Preciso criar uma página de redirecionamento com informações e produtos para usar no instagram no link da bio. Exemplo, clica no link da bio, cai na página de oferta dos produtos, clica no produto desejado e é direcionado para o link do anúncio / páginas de vendas.

Categoria: Design e Multimedia
... Ver mais detalhes",https://www.workana.com/job/pagina-de-redirecionamento?ref=projects_6
Criar robô no Metatrader 5,11 de Maio de 2023 07:23,"HTML5, MySQL, PHP",USD 50 - 100,2,"Quero criar um robô para operar no WDO através da plataforma Metatrader 5.

É Uma estratégia simples que utiliza somente a MME.

Categoria: TI e Programação
Subcategoria: Outros
Tamanho do projeto: Pequeño
Isso é um projeto ou uma posição de trabalho?: Um projeto
Tenho, atualmente: Eu tenho... Ver mais detalhes",https://www.workana.com/job/criar-robo-no-metatrader-5?ref=projects_6
Site woocomerce voltado para a venda de vinhos pela web,11 de Maio de 2023 07:00,"HTML, PHP, WordPress, API, CSS, HTML5, JavaScript, MySQL, Responsive Web Design",USD 250 - 500,11,"Site desenvolvido pelo wordpress para vendas de vinho pela internet  com visitas a pagina pelo computdor , celular,tablet com pedidos via watsapp...

Categoria: TI e Programação
Subcategoria: Wordpress
Qual é o alcance do projeto?: Desenvolvimento personalizado
Isso é um projeto ou uma posição de... Ver mais detalhes",https://www.workana.com/job/site-woocomerce-voltado-para-a-venda-de-vinhos-pela-web?ref=projects_6
Locução para Vsl,11 de Maio de 2023 06:51,"Atuação de voz, Locutor",Menos de USD 50,4,"Preciso de um Locutor Homem 35 Anos com Voz boa para um vídeo de vendas, deve saber gera emoções em cada etapa e ter conhecimento de pausas, tonalidade da voz e etc..

Categoria: Tradução e conteúdos
Subcategoria: Outros
Tamanho do projeto: Médio
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/locucao-para-vsl-207?ref=projects_6
Locução para Vsl,11 de Maio de 2023 06:37,"Atuação de voz, Locutor",Menos de USD 50,2,"Preciso de um Locutor Homem 35 Anos com Voz boa para um vídeo de vendas, deve saber gera emoções em cada etapa e ter conhecimento de pausas, tonalidade da voz e etc..

Categoria: Tradução e conteúdos
Subcategoria: Outros
Tamanho do projeto: Médio
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/locucao-para-vsl-204?ref=projects_6
Logo Marca,11 de Maio de 2023 06:35,"Design Gráfico, Ilustração, Adobe Illustrator",Menos de USD 50,13,"Estou criando uma auto elétrica e acessórios para automóveis que se chamará por M3.
Preciso de logo marca e projeto visual para Letreiro que ficará na fachada

Categoria: Design e Multimedia
Subcategoria: Design de Logo
Do que você precisa?: Criar um logotipo do zero
Isso é um projeto ou uma posição de... Ver mais detalhes",https://www.workana.com/job/logo-marca-371?ref=projects_6
Preciso de uma Vsl / - de 02 minutos.,11 de Maio de 2023 05:53,"Adobe After Effects, Adobe Premiere, Edição de vídeo, Edição, Animação, +",Menos de USD 50,1,"Tenho um audio gravado por mim, e preciso transcrever com legenda e videos animados em formato de vsl. Por gentileza, uma chamada pra ação no final. Gostaria tambem que legende o video e que coloquem imagens de acordo com o que está descrito dentro do AUDIO.

Se possivel, na hora da palavra VENDA... Ver mais detalhes",https://www.workana.com/job/preciso-de-uma-vsl-de-02-minutos?ref=projects_6
(Oportunidade) Preciso de um programador e Web Designer Fixo.,11 de Maio de 2023 05:45,"JavaScript, PHP, HTML, WordPress, Responsive Web Design",USD 250 - 500,7,"Quando digo oportunidade, falo sobre crescimento pessoal e não apenas financeiro. Irei explicar isso, mas antes, irei passar as pontuações, exigências e atividades sobre este trabalho. Seremos o inicio de uma humilde agencia.

Pontuações
- Não precisa ser um grande web designer, mas precisa estar... Ver mais detalhes",https://www.workana.com/job/oportunidade-preciso-de-um-programador-e-web-designer-fixo?ref=projects_6
Desenvolvimento de Ferramenta Para Checkout Web com Integrações com Erp,11 de Maio de 2023 12:50,"Magento, PHP, WordPress",USD 1.000 - 3.000,1,"Procuro dev full stack para projeto de desenvolvimento de ferramenta checkout web (no site do cliente) com integração api em erp.

Categoria: TI e Programação
Subcategoria: Lojas Virtuais (e-commerce)
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/desenvolvimento-de-ferramenta-para-checkout-web-com-integracoes-com-erp?ref=projects_7
Design de página institucional de empresa distribuidora de softwares Aec,10 de Maio de 2023 19:24,"CSS, HTML, Responsive Web Design, HTML5, JavaScript, PHP",USD 500 - 1.000,25,"Necessitamos reformular (atualizar visual e UX...) De nossa página corporativa.
Estamos usando a atual por muitos anos ...
Link da página: http://www.cadtec.com.br

Categoria: TI e Programação
Subcategoria: Web Design
Qual é o alcance do projeto?: Criar um novo design personalizado
Isso é um projeto... Ver mais detalhes",https://www.workana.com/job/design-de-pagina-institucional-de-empresa-distribuidora-de-softwares-aec?ref=projects_7
